0,musk1norm,tiger,elephant,musk2norm,fox
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.10_noise_hinge,0.79,0.795,0.816667,nan,0.55
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.05_noise_hinge,0.832222,0.788333,0.806667,nan,0.52
PCA_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.50_noise,0.823704,0.79,0.783333,0.824545,0.5
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.05_noise_hinge,0.797778,0.78,0.808333,nan,0.561667
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.50_noise_hinge,0.825556,0.808333,0.81,0.752727,0.565
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_1.00_noise_hinge,0.793333,0.783333,0.796667,nan,0.518333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.10_noise_hinge,0.767778,0.778333,nan,nan,0.535
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_2.00_noise_hinge,0.824074,0.771667,0.831667,nan,0.53
PCA_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.50_noise_hinge,0.831852,0.836667,0.811667,0.811515,0.526667
PCA_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.10_noise,0.841852,0.815,0.828333,0.799394,0.518333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_2.00_noise_hinge,0.77,0.785,nan,nan,0.538333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_1.00_noise_hinge,0.803704,0.786667,0.8,nan,0.56
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.05_noise_hinge,0.768148,0.778333,0.826667,nan,0.556667
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_1.00_noise_hinge,0.760741,0.785,0.843333,nan,0.56
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0001_l1norm_10_attention_0.10_noise_hinge,0.793704,nan,nan,nan,0.521667
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_2.00_noise_hinge,0.805185,0.768333,0.816667,nan,0.553333
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.10_noise_hinge,0.724444,nan,nan,nan,0.538333
PCA_hidden_100_rmsprop_stand_all_feat_0.0000_l1norm_10_attention_0.01_noise,0.795185,0.793333,0.768333,0.783636,0.511667
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_0.05_noise_hinge,0.747037,0.778333,nan,nan,0.558333
PCA_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.01_noise,0.847037,0.841667,0.808333,0.813636,0.528333
PCA0.8_hidden_100_rmsprop_stand_all_feat_0.0000_l2norm_10_attention_0.05_noise_hinge,0.840741,0.78,0.835,nan,0.53
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0001_l2norm_10_attention_0.01_noise_hinge,nan,nan,nan,nan,0.526667
PCA1.0_hidden_100_rmsprop_stand_all_feat_0.0010_l1norm_10_attention_0.01_noise_hinge,0.752963,nan,nan,nan,0.565
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0010_l2norm_10_attention_0.01_noise_hinge,0.765185,0.771667,0.84,nan,0.58
PCA_hidden_100_rmsprop_stand_all_feat_0.0005_l2norm_10_attention_0.10_noise,0.83963,0.805,0.791667,0.781818,0.505
PCA0.9_hidden_100_rmsprop_stand_all_feat_0.0005_l1norm_10_attention_1.00_noise_hinge,0.757037,0.781667,0.813333,nan,0.566667
